date,StockCode,open,high,low,close,volume,Type,Title,PublishTime,URL,Head,Content,ArticleID,Page
2025-06-25,ACB,21.35,21.45,21.25,21.25,7771700,,,,,,,,
2025-06-26,ACB,21.3,21.35,21.15,21.2,9897400,,,,,,,,
2025-06-27,ACB,21.3,21.3,21.15,21.2,6312400,,,,,,,,
2025-06-30,ACB,21.25,21.3,21.15,21.3,5858100,,,,,,,,
2025-07-01,ACB,21.3,21.4,21.25,21.3,7527600,Tin mới nhất,ACB: Quyết định của NHNN về việc sửa đổi nội dung về vốn điều lệ tại Giấy phép thành lập và hoạt động,2025-07-01 14:09:25,/2025/07/acb-quyet-dinh-cua-nhnn-ve-viec-sua-doi-noi-dung-ve-von-dieu-le-tai-giay-phep-thanh-lap-va-hoat-dong-737-1323465.htm,,,1323465.0,26.0
2025-07-01,ACB,21.3,21.4,21.25,21.3,7527600,Kết quả - Kế hoạch kinh doanh,ACB: Quyết định của NHNN về việc sửa đổi nội dung về vốn điều lệ tại Giấy phép thành lập và hoạt động,2025-07-01 14:09:25,/2025/07/acb-quyet-dinh-cua-nhnn-ve-viec-sua-doi-noi-dung-ve-von-dieu-le-tai-giay-phep-thanh-lap-va-hoat-dong-737-1323465.htm,,,1323465.0,7.0
2025-07-02,ACB,21.3,21.45,21.25,21.3,7629500,Tin mới nhất,ACB: Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ BCH Công đoàn ACB,2025-07-02 17:42:43,/2025/07/acb-thong-bao-giao-dich-co-phieu-cua-to-chuc-co-lien-quan-den-nguoi-noi-bo-bch-cong-doan-acb-739-1324346.htm,,,1324346.0,26.0
2025-07-02,ACB,21.3,21.45,21.25,21.3,7629500,Giao dịch CĐ lớn - CĐ nội bộ,ACB: Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ BCH Công đoàn ACB,2025-07-02 17:42:43,/2025/07/acb-thong-bao-giao-dich-co-phieu-cua-to-chuc-co-lien-quan-den-nguoi-noi-bo-bch-cong-doan-acb-739-1324346.htm,,,1324346.0,2.0
2025-07-02,ACB,21.3,21.45,21.25,21.3,7629500,Tin mới nhất,ACB: Thông báo giao dịch cổ phiếu của người nội bộ,2025-07-02 17:43:26,/2025/07/acb-thong-bao-giao-dich-co-phieu-cua-nguoi-noi-bo-830-1324335.htm,,,1324335.0,25.0
2025-07-03,ACB,21.35,21.6,21.3,21.4,15125500,Tin mới nhất,Cổ phiếu ngân hàng “thăng hoa” trong tháng 6,2025-07-03 20:02:00,/2025/07/co-phieu-ngan-hang-thang-hoa-trong-thang-6-830-1324632.htm,"Khép lại tháng 6, nhóm cổ phiếu ngân hàng tiếp tục là lực đẩy chính giúp thị trường duy trì xu hướng tăng điểm, với diễn biến tích cực về thị giá bất chấp thanh khoản sụt giảm.",,1324632.0,25.0
2025-07-04,ACB,21.45,22.2,21.45,21.85,26955100,,,,,,,,
2025-07-07,ACB,22.05,22.35,21.9,22.25,17316100,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu ACB12507 của Ngân hàng TMCP Á Châu,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-acb12507-cua-ngan-hang-tmcp-a-chau-3118-1326040.htm,,,1326040.0,25.0
2025-07-07,ACB,22.05,22.35,21.9,22.25,17316100,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu ACB12507 của Ngân hàng TMCP Á Châu,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-acb12507-cua-ngan-hang-tmcp-a-chau-3118-1326040.htm,,,1326040.0,8.0
2025-07-07,ACB,22.05,22.35,21.9,22.25,17316100,Tin mới nhất,Phân tích kỹ thuật phiên chiều 07/07: Thanh khoản có sự cải thiện mạnh mẽ,2025-07-07 13:27:55,/2025/07/phan-tich-ky-thuat-phien-chieu-0707-thanh-khoan-co-su-cai-thien-manh-me-585-1325553.htm,VN-Index và HNX-Index đồng loạt mở cửa tăng điểm đi kèm với khối lượng giao dịch dự kiến vượt mức trung bình khi kết thúc phiên cho thấy nhà đầu tư đã giao dịch sôi động trở lại.,,1325553.0,25.0
2025-07-08,ACB,22.4,22.4,22.1,22.25,14675400,,,,,,,,
2025-07-09,ACB,22.25,22.5,22.25,22.45,18703900,Tin mới nhất,Lãi suất có thể tăng nhẹ về cuối năm,2025-07-09 13:02:00,/2025/07/lai-suat-co-the-tang-nhe-ve-cuoi-nam-757-1326141.htm,"Lãi suất huy động có xu hướng tăng nhẹ trong quý cuối năm, do yếu tố mùa vụ và áp lực cạnh tranh thu hút dòng tiền tiết kiệm quay lại hệ thống ngân hàng, sau thời gian dài dòng vốn chảy mạnh sang các kênh đầu tư rủi ro hơn như chứng khoán, bất động sản và trái phiếu doanh nghiệp.",,1326141.0,25.0
2025-07-09,ACB,22.25,22.5,22.25,22.45,18703900,Tin mới nhất,BSI: Quyết định của HĐQT về việc phê duyệt hạn mức tín dụng tại ACB,2025-07-09 14:25:52,/2025/07/bsi-quyet-dinh-cua-hdqt-ve-viec-phe-duyet-han-muc-tin-dung-tai-acb-830-1326432.htm,,,1326432.0,24.0
2025-07-09,ACB,22.25,22.5,22.25,22.45,18703900,Tin mới nhất,Doanh nghiệp tư nhân kỳ vọng vào chính sách mới từ Nghị quyết 68,2025-07-09 16:42:07,/2025/07/doanh-nghiep-tu-nhan-ky-vong-vao-chinh-sach-moi-tu-nghi-quyet-68-768-1326521.htm,"Nghị quyết 68 mở ra một cánh cửa lớn, nhưng đi qua được hay không phụ thuộc vào từng doanh nghiệp. Với nền tảng chính sách đang dần được hoàn thiện, hệ thống ngân hàng ngày càng hiểu rõ vai trò đồng hành và đặc biệt là sự nhìn nhận rõ ràng về vai trò trụ cột của kinh tế tư nhân, tương lai cho khu vực này đang được kỳ vọng sẽ có bước phát triển vượt bậc.",,1326521.0,24.0
2025-07-10,ACB,22.65,22.7,22.4,22.55,9132500,,,,,,,,
2025-07-11,ACB,22.55,22.75,22.5,22.7,15977200,,,,,,,,
2025-07-14,ACB,22.75,22.85,22.35,22.7,12303700,,,,,,,,
2025-07-15,ACB,22.7,22.8,22.45,22.45,12688100,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu ACB12510 của Ngân hàng TMCP Á Châu,2025-07-15 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-acb12510-cua-ngan-hang-tmcp-a-chau-3118-1328264.htm,,,1328264.0,24.0
2025-07-15,ACB,22.7,22.8,22.45,22.45,12688100,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu ACB12511 của Ngân hàng TMCP Á Châu,2025-07-15 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-acb12511-cua-ngan-hang-tmcp-a-chau-3118-1328268.htm,,,1328268.0,24.0
2025-07-15,ACB,22.7,22.8,22.45,22.45,12688100,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu ACB12510 của Ngân hàng TMCP Á Châu,2025-07-15 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-acb12510-cua-ngan-hang-tmcp-a-chau-3118-1328264.htm,,,1328264.0,8.0
2025-07-15,ACB,22.7,22.8,22.45,22.45,12688100,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu ACB12511 của Ngân hàng TMCP Á Châu,2025-07-15 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-acb12511-cua-ngan-hang-tmcp-a-chau-3118-1328268.htm,,,1328268.0,8.0
2025-07-16,ACB,22.45,22.55,22.3,22.45,10934500,,,,,,,,
